question,label,slot,template
차가운거로 주세요,음료온도요구,TEMP,{TEMP} 선택하셨습니당
뜨겁게 아메리카노 주세요,음료온도요구,TEMP^COFFEE,{TEMP} {COFFEE} 주문 받았습니당.
따뜻한거 2잔,음료온도요구,TEMP^COUNT,{TEMP} 온도로 {COUNT}잔 주문 받았습니당.
뜨거운거로 두잔 라지사이즈요,음료온도요구,TEMP^COUNT^SIZE,{SIZE} {TEMP} 온도로 {COUNT}잔 주문 받았습니당.
큰 사이즈로 주시겠어요,사이즈요구,SIZE,{SIZE}를 선택하셨습니당
큰 사이즈로 뜨겁게요,사이즈요구,SIZE^TEMP, {SIZE}에 {TEMP} 온도로 선택하셨습니다.
두 잔 주세요,일반주문,COUNT,앞서 주문 하신 메뉴를 {COUNT}잔(개)으로 변경하겠습니당.
아메리카노 주세요,일반주문,COFFEE,{COFFEE} 주문 받았습니당. 사이즈나 온도 조절이 필요하면 말씀해주세요~
아메리카노 뜨겁게 주세요,일반주문,COFFEE^TEMP,{TEMP} {COFFEE} 주문 받았습니당.
아메리카노 뜨겁게 큰걸로 주세요,일반주문,COFFEE^TEMP^SIZE,{TEMP} {COFFEE} {SIZE} 주문 받았습니당.
아메리카노 뜨거운거로 3잔 주세요,일반주문,COFFEE^TEMP^COUNT,{TEMP} {COFFEE} {COUNT}잔 주문 받았습니당.
아메리카노 큰걸로 주세요,일반주문,COFFEE^SIZE,{COFFEE} {SIZE} 주문 받았습니당.
아메리카노 큰걸로 3잔 주세요,일반주문,COFFEE^SIZE^COUNT,{COFFEE} {SIZE} {COUNT}잔 주문 받았습니당.
아메리카노 한잔 주세요,일반주문,COFFEE^COUNT,{COFFEE} {COUNT}잔 주문 받았습니당. 사이즈나 온도 조절이 필요하면 말씀해주세요~
아메리카노 큰걸로 두잔 뜨겁게 주세요,일반주문,COFFEE^SIZE^COUNT^TEMP,{TEMP} {COFFEE} {SIZE} {COUNT}잔 주문 받았습니당. 결제가 필요하시면 말씀주세요!
큰 사이즈로 두잔 주세요.일반주문,SIZE^COUNT,앞서 주문 하신 메뉴를 {SIZE} {COUNT}잔으로 변경하겠습니당.
큰 사이즈로 두잔 뜨겁게요,일반주문,SIZE^TEMP^COUNT,앞서 주문 하신 메뉴를 {TEMP} 온도로 {SIZE} {COUNT}잔으로 변경하겠습니당.
뜨겁게 유자차 주세요,음료온도요구,TEMP^TEA,{TEMP} {TEA} 주문 받았습니당.
유자차 주세요,일반주문,TEA,{TEA} 주문 받았습니당. 사이즈나 온도 조절이 필요하면 말씀해주세요~
유자차 뜨겁게 주세요,일반주문,TEA^TEMP,{TEMP} {TEA} 주문 받았습니당.
유자차 뜨겁게 큰걸로 주세요,일반주문,TEA^TEMP^SIZE,{TEMP} {TEA} {SIZE} 주문 받았습니당.
유자차 뜨거운거로 3잔 주세요,일반주문,TEA^TEMP^COUNT,{TEMP} {TEA} {COUNT}잔 주문 받았습니당.
유자차 큰걸로 주세요,일반주문,TEA^SIZE,{TEA} {SIZE} 주문 받았습니당.
유자차 큰걸로 3잔 주세요,일반주문,TEA^SIZE^COUNT,{TEA} {SIZE} {COUNT}잔 주문 받았습니당.
유자차 한잔 주세요,일반주문,TEA^COUNT,{TEA} {COUNT}잔 주문 받았습니당. 사이즈나 온도 조절이 필요하면 말씀해주세요~
유자차 큰걸로 두잔 뜨겁게 주세요,일반주문,TEA^SIZE^COUNT^TEMP,{TEMP} {TEA} {SIZE} {COUNT}잔 주문 받았습니당. 결제가 필요하시면 말씀주세요!
뜨겁게 딸기주스 주세요,음료온도요구,TEMP^JUICE,{JUICE} 주문 받았습니당. 차가운 온도로만 가능하니 참고해주세요.
딸기주스 주세요,일반주문,JUICE,{JUICE} 주문 받았습니당. 사이즈 조절이 필요하면 말씀해주세요~
딸기주스 뜨겁게 주세요,일반주문,JUICE^TEMP,{JUICE} 주문 받았습니당. 차가운 온도로만 가능하니 참고해주세요.
딸기주스 뜨겁게 큰걸로 주세요,일반주문,JUICE^TEMP^SIZE,{JUICE} {SIZE} 주문 받았습니당. 차가운 온도로만 가능하니 참고해주세요.
딸기주스 뜨거운거로 3잔 주세요,일반주문,JUICE^TEMP^COUNT,{JUICE} {COUNT}잔 주문 받았습니당. 차가운 온도로만 가능하니 참고해주세요.
딸기주스 큰걸로 주세요,일반주문,JUICE^SIZE,{JUICE} {SIZE} 주문 받았습니당.
딸기주스 큰걸로 3잔 주세요,일반주문,JUICE^SIZE^COUNT,{JUICE} {SIZE} {COUNT}잔 주문 받았습니당.
딸기주스 한잔 주세요,일반주문,JUICE^COUNT,{JUICE} {COUNT}잔 주문 받았습니당. 사이즈 조절이 필요하면 말씀해주세요~
딸기주스 큰걸로 두잔 뜨겁게 주세요,일반주문,JUICE^SIZE^COUNT^TEMP,{JUICE} {SIZE} {COUNT}잔 주문 받았습니당. 결제가 필요하시면 말씀주세요!
뜨겁게 케이크 주세요,음료온도요구,TEMP^BAKE,{BAKE} 주문 받았습니당. {BAKE}는(은) 온도와 사이즈 조절이 불가능하니 참고해주세요.
케이크 주세요,일반주문,BAKE,{BAKE} 주문 받았습니당.
케이크 뜨겁게 주세요,일반주문,BAKE^TEMP,{BAKE} 주문 받았습니당. {BAKE}는(은) 온도와 사이즈 조절이 불가능하니 참고해주세요.
케이크 뜨겁게 큰걸로 주세요,일반주문,BAKE^TEMP^SIZE,{BAKE} 주문 받았습니당. {BAKE}는(은) 온도와 사이즈 조절이 불가능하니 참고해주세요.
케이크 뜨거운거로 3개 주세요,일반주문,BAKE^TEMP^COUNT,{BAKE} {COUNT}개 주문 받았습니당. {BAKE}는(은) 온도와 사이즈 조절이 불가능하니 참고해주세요.
케이크 큰걸로 주세요,일반주문,BAKE^SIZE,{BAKE} 주문 받았습니당. {BAKE}는(은) 온도와 사이즈 조절이 불가능하니 참고해주세요.
케이크 큰걸로 3개 주세요,일반주문,BAKE^SIZE^COUNT,{BAKE} {COUNT}개 주문 받았습니당. {BAKE}는(은) 온도와 사이즈 조절이 불가능하니 참고해주세요.
케이크 한개 주세요,일반주문,BAKE^COUNT,{BAKE} {COUNT}개 주문 받았습니당. {BAKE}는(은) 온도와 사이즈 조절이 불가능하니 참고해주세요.
케이크 큰걸로 두개 뜨겁게 주세요,일반주문,BAKE^SIZE^COUNT^TEMP,{BAKE} {COUNT}개 주문 받았습니당. 결제가 필요하시면 말씀주세요!